[GIN] 2026/09/15 - 00:51:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:51:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:51:40 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:52:10 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:52:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:52:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:52:40 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:53:10 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:53:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:53:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:53:40 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:54:10 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:54:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:54:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:54:40 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:55:10 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:55:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:55:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:55:40 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:56:10 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:56:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:56:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:56:40 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:57:10 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:57:20 | 401 |       506.8µs |       127.0.0.1 | GET      "/auth/me"
[GIN] 2026/09/15 - 00:57:20 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:57:21 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:57:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:57:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:57:51 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:58:21 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:58:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
